paper_id,au_id,aff_id,aff_name
000215D4,80DCEA21,,
000215D4,83C87852,,
000BD259,85292E99,0134B592,peking university
0019D7E3,7E511C22,05282E0D,university of texas at austin
00357C8E,80C91A39,,
00357C8E,7E196EEA,,
00357C8E,811F4E19,,
003AAC4E,7B1F1FC7,08B17323,vienna university of technology
003AAC4E,7B3361CE,08B17323,vienna university of technology
003AAC4E,02887148,08B17323,vienna university of technology
003AAC4E,7EEF3DEE,08B17323,vienna university of technology
003F0985,7A419383,,
003F0985,7B97E88F,,
0044806E,449600D8,0134B592,peking university
0044A10D,84BECB93,,
0044A10D,76E67078,,
00479075,81194884,,
00479075,7A449341,,
004A2DC7,7F560E46,,
004A2DC7,8122381D,,
004F7F07,0EBE528E,,
004F7F07,8638CF72,,
004F7F07,85AC78A8,,
004FA7A3,800C7D70,,
004FA7A3,80F7604A,,
004FF28A,85051F9E,,
005100E0,21BD4DCE,,
00533F1E,7F53CAD0,0BF77E37,hong kong university of science and technology
0057E537,7542C43A,4FF45383,ibm
0057E537,7E0FB98C,4FF45383,ibm
0057E537,7AFE9FC6,4FF45383,ibm
0057E537,7F94CEC7,4FF45383,ibm
0057E537,80745D3F,4FF45383,ibm
0057E537,7D77EAE0,4FF45383,ibm
0059C3DC,6FF9A5FC,05C86094,stanford university
005B002D,806EA8BA,,
005B002D,7C90E0B2,,
005B002D,7DA45723,,
005B002D,76791ACD,,
006023C1,28674CFA,,
006023C1,8095422B,,
00619524,7E267088,,
00619524,771EDC59,,
00619524,7E8C1D3D,,
00619524,79AB0FCA,,
0067D2CE,0C8E11C8,,
0067D2CE,13D006C2,,
00691BD7,7CF276A4,02A66F75,university of houston
006C487F,718E56A2,01F6ADD2,helsinki institute for information technology
006C487F,778D4FA8,01F6ADD2,helsinki institute for information technology
006C487F,810CD9E4,01F6ADD2,helsinki institute for information technology
006CCC27,1F81A079,,
006CCC27,7FB794DC,,
006E96D2,71A94E70,,
00719563,7D1C752F,,
0071DB5D,7DA2223E,,
0071DB5D,6F07778F,,
007A3A6B,85928471,01776B6C,university of massachusetts amherst
007A3A6B,7DFFA2F1,01776B6C,university of massachusetts amherst
007A3A6B,7945B8D1,01776B6C,university of massachusetts amherst
007A3A6B,80529B53,01776B6C,university of massachusetts amherst
007B4ADB,8359D325,0B185497,lehigh university
007B4ADB,764F5364,0B185497,lehigh university
007B4ADB,7623CAF4,0B185497,lehigh university
007CF88A,396D6336,01F164D0,ghent university
007CF88A,75F1EB7C,01F164D0,ghent university
007CF88A,777E420F,01F164D0,ghent university
007CF88A,85F3F279,003E7116,graz university of technology
007CF88A,805EC86C,003E7116,graz university of technology
007E269B,7ECE76AD,,
007E269B,7D2876DD,,
007E269B,7B70498B,,
0081B533,8359D325,,
0081B533,863AC235,,
0084BBD6,849DC9E7,0C01DCFD,university of washington
00850F86,76E43657,,
0087FA1E,7EB46AA3,,
0087FA1E,7EB0AFB9,,
0087FA1E,7D8556DA,,
008D480B,21BD4DCE,,
008D480B,8167969D,,
008FEFF7,8030F1F6,,
008FEFF7,862B9F61,,
00943E0E,7DBE3A96,00FF56A8,national taiwan university
00943E0E,7F7FDEB6,00FF56A8,national taiwan university
009BAA11,7EB6C606,,
009BAA11,73B632CA,,
009F4E86,1A11770F,,
009F4E86,13FE756D,,
009F4E86,852B1A54,,
009F4E86,80248B65,,
00A17526,80F40C1B,,
00A17526,7DB7C3FF,,
00A41D92,7E6E9133,,
00A41D92,6AD4B4FC,,
00A4E4D6,2969AE72,,
00A4E4D6,06295A64,,
00A9E96F,79762927,,
00A9E96F,80971BCD,,
00A9E96F,85466A30,,
00AA9E59,802EC0D7,,
00B11FE8,7DB528FF,,
00B8D4C7,77804F07,,
00B8D4C7,26527020,,
00BF3764,8503E130,,
00BF3764,79066D67,,
00BF4320,7D4DED23,4E330E21,corporation for national research initiatives
00C39B1B,7F743112,,
00C39B1B,7C5BD87A,,
00C39B1B,7DE21FCC,,
00C849C5,7C5A7E88,,
00C849C5,7DC97980,,
00C8EE9B,819FCB90,,
00C8EE9B,7D0C3ECC,,
00C8EE9B,7C230958,,
00D280A9,75A6ABB5,,
00D280A9,7B882F4E,,
00D77464,80173B58,,
00D77464,7D83CDDC,,
00D77464,7D856E52,,
00DAB78E,0F0DD427,,
00DAB78E,7F2082B5,,
00DAB78E,77D4FD8A,,
00DE9ADC,757A3B57,,
00DEC697,7DF2EBFC,,
00DEC697,174D2049,,
00E0882B,76752724,,
00E0A7DF,11747417,,
00E0A7DF,0EF8EB63,,
00E0A7DF,7482BF8F,,
00E68C99,8343EFF9,,
00E68C99,4A4A05EF,,
00EA1A39,6DD9AD9E,,
00EA1A39,8030F1F6,,
00EA1A39,0E772590,,
00ECC332,7B192FC6,,
00ECC332,7CEED979,,
00ECC332,8296CE80,,
00ECC332,858AD332,,
00F171D4,79E28307,,
00F171D4,7ED504A4,,
00F3F60E,026FD467,003E7116,graz university of technology
00F3F60E,8132F091,003E7116,graz university of technology
