paper_id,keyword,field_id
018A53CB,service model,014A80A5
01BFDC05,language models,082EEFC0
01D40288,object oriented,04655FD1
026FE547,mobile device,0B24E4DD
02A67153,user modeling,04093723
02BAD2BD,hierarchical,01DB9F57
041997D6,world wide web,0826DA74
046ACDDC,bag of words,00D09F90
0498B190,search engine,05D52366
0499D194,semantic web,00207EA7
04D9AE72,software systems,08E2F5EA
04E4E826,opinion mining,03F53920
04E9DEEB,question answering,02A3D790
056C5531,games,1E2C5488
05EA0999,sentiment analysis,03F53920
06B9AD31,mobile device,0B24E4DD
070CFD6D,world wide web,0826DA74
07288E42,distributed objects,04D6E5C4
07B1FA70,rest,049AF9A1
07E1A0D3,social network,05242AA7
07F038DD,data structure,09ACCB7D
07FB682B,social networks,05242AA7
084DB8AB,web service,021EE282
09031F06,online education,00FAE71A
092ADE2E,backward chaining,07BE5D67
095B8206,semantic web,00207EA7
09BDE5FE,data model,0090990D
0A8A02E2,web browsing,03A4415E
0ADCE011,polynomial time,0004C188
0AEBFB27,information integration,01FC846D
0AEBFB27,rule based,08E5B3D7
0B059794,social network,05242AA7
0B26E86C,complex networks,0215411F
0B324BC0,linked data,041E01D9
0E0FB052,feature selection,08D9ADFD
4020C4EB,indexing,047AEE7D
48A568B6,standardization,0B35FD98
58551AED,world wide web,0826DA74
58CF7BCF,classification,02E72525
599D4AFF,dynamic content,05F84B34
59F389CB,information extraction,0BABCAD2
5A79C2C9,theta function,064A81CD
5AB278C2,world wide web,0826DA74
5B8BD6EE,database management system,04984686
5CCB3FBC,internet,069BD3D4
5CD62031,social web,1E0943DD
5CF691A9,knowledge base,00457FEE
5D2ADB56,plug ins,004B2550
5E3D4325,real time,04BB9B33
5E5B5615,web service,021EE282
5F22D54A,web service,021EE282
5F944558,molecular biology,092C7EF1
5FADAAF9,search engine,05D52366
5FD5E900,bayesian networks,020298BB
61915CAE,web 2 0,0825DD0F
663E53B2,social influence,07D15138
66524E9D,event,0051E359
66524E9D,svg,0C13E0F2
6AA99DEC,social networks,05242AA7
6BA8BBE8,personalization,0AE867C7
6BEC3FFA,world wide web,0826DA74
73F01761,zoom,07720925
74A5B4CE,social networks,05242AA7
