id,name
000366AD,nazli goharian
000366AD,nazli goharian
000366AD,nazli goharian
000B8F43,ivan marsic
000F6D55,henry detmold
00198139,mourad ouzzani
002C2840,michael j cafarella
002C2840,michael j cafarella
002C2840,michael j cafarella
002C2840,michael j cafarella
002C2840,michael j cafarella
0033388C,roberto navigli
00375817,michal laclavik
003EB7EE,maurizio montagnuolo
003EB7EE,maurizio montagnuolo
0046AFEE,myriam lamolle
006014AC,kare synnes
00601954,naftaly h minsky
006D0B72,mary ellen zurko
00721344,kalina bontcheva
00721344,kalina bontcheva
00721344,kalina bontcheva
0073986F,pavel braslavski
00862132,vitaly shmatikov
00945E4B,marco mesiti
009D85E9,axel polleres
009D85E9,axel polleres
00AD845F,ikram amous
00CA311A,adam jatowt
00CA311A,adam jatowt
00CA311A,adam jatowt
00CA311A,adam jatowt
00CA311A,adam jatowt
00CA311A,adam jatowt
00CA311A,adam jatowt
00CA311A,adam jatowt
00CA311A,adam jatowt
00CD618F,gaelle recource
00DCAFCB,andreas juffinger
00DCAFCB,andreas juffinger
00DFDA49,helen margetts
00F08C17,koji zettsu
00F2C48C,david grossamblard
00FE54AA,graham klyne
01059927,claudio schifanella
0127D9FC,artemios g voyiatzis
012B9460,sihem ameryahia
012B9460,sihem ameryahia
01300D3F,daisuke katagami
0135854F,nicolas delaforge
0139798A,andreas hotho
0139798A,andreas hotho
0139798A,andreas hotho
013A40C9,andrejs vasiljevs
013AE234,domenico rosaci
014510EA,dorel lucanu
0151C10A,roman bartak
0151C135,piotr indyk
0158965E,terence critchlow
0158965E,terence critchlow
016079E3,ryutaro ichise
016079E3,ryutaro ichise
0162A9A8,richard vidgen
016C7F3C,thomas largillier
017E7DC0,stefano salsano
018D81F3,piero fraternali
018D81F3,piero fraternali
018D81F3,piero fraternali
018D81F3,piero fraternali
018D81F3,piero fraternali
018D81F3,piero fraternali
018D81F3,piero fraternali
018D81F3,piero fraternali
018D81F3,piero fraternali
018D81F3,piero fraternali
018D81F3,piero fraternali
018D81F3,piero fraternali
019A2613,iraj saniee
01A59D40,antoine delignatlavaud
01AF14E8,fenareti lampathaki
01C66E8C,tevfik bultan
01C66E8C,tevfik bultan
01C66E8C,tevfik bultan
01CBEEE4,f urmetzer
01D32C25,wolfgang worndl
01E29DDB,karoly csalogany
01E29DDB,karoly csalogany
01E80BB2,francois goasdoue
01E80BB2,francois goasdoue
01F0F617,nikos manouselis
01FBEB64,ivan cantador
02023060,florian a twaroch
02023060,florian a twaroch
020727D3,rassul ayani
020EA2E9,till janner
0215D195,olena medelyan
021B2A0E,luka divackrnic
0226782A,christoph tempich
0229B980,israel benshaul
